clip_id,source_id,source_video_id,camera_id,clip_path,source_start_sec,source_end_sec,duration_sec,sha256,sampled_frame_count,event_likelihood_score,event_likelihood_level,hardcase_score,hardcase_tags,diversity_score,candidate_score,source_rank,global_rank,selection_status,selection_reason,manual_review_status,manual_review_label,manual_review_notes,signal_status,prediction_status
interrupted_2026-09-17_C208,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C208.mp4,22770.0,22890.0,120.0,9d0bfbb30454c722a08f319d1ac7514288d7462214926a6842f0aebd91ade4b1,12,0.351849,MEDIUM,0.436871,SMALL_FAR|CROWDED,0.370839,0.368622,46,93,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
LF_ZmCAo38w_C038,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,data/clips/LF_ZmCAo38w_C038.mp4,4070.0,4190.0,120.0,cc218447d02455734c10345087c796a4b19caf45c6581cd600f3e7dfc5888047,12,0.351276,MEDIUM,0.443046,SMALL_FAR|CROWDED,0.315577,0.366410,48,96,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C146,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C146.mp4,15950.0,16070.0,120.0,e456df3ac2f2199fa771a39c20e50787af6f8e54abf77eebd4c9e2cd6c6334df,12,0.350892,MEDIUM,0.435994,SMALL_FAR|CROWDED,0.347787,0.363326,49,98,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C041,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C041.mp4,4400.0,4520.0,120.0,e80a902e27af0e74cbf3fcc67b00813abe892549aa614be59e84ddd0affee6fe,12,0.371271,HIGH,0.332125,SMALL_FAR,0.319004,0.348651,2,117,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=HIGH; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C154,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C154.mp4,16830.0,16950.0,120.0,d025411ad7b1a56ccd92d9de4f6e421e50af0eeaf515ac238860522fe4294b69,12,0.349725,MEDIUM,0.368951,,0.284045,0.332915,65,126,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C044,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C044.mp4,4730.0,4850.0,120.0,71b4c382148841e48927ff8b60fb11afb012e7312809bb039d38df78f49a8660,12,0.346274,MEDIUM,0.336096,,0.201499,0.311537,3,142,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C061,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C061.mp4,6600.0,6720.0,120.0,78c9dfef9b3a2673c9ad692713d3599ca3ec9952a2605cf30e000e23b836845c,12,0.340038,MEDIUM,0.358773,SMALL_FAR,0.174967,0.309313,5,145,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C054,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C054.mp4,5830.0,5950.0,120.0,04f59c60b81bf853e34315ae590ad7981036abcd2809437a74a182ead758863b,12,0.336711,MEDIUM,0.354947,SMALL_FAR,0.190453,0.308376,6,146,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C021,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C021.mp4,2200.0,2320.0,120.0,0f2ea57acfdb1f9c4102940d2e790750fba142ec19fdd7d44ae63301982f8c7f,12,0.337124,MEDIUM,0.327702,SMALL_FAR,0.169531,0.296568,7,155,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C012,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C012.mp4,1210.0,1330.0,120.0,d28603c871553414173675ec50e75168d7363b0da5fc38028e7a522bb42c7ccb,12,0.339984,MEDIUM,0.276762,,0.210664,0.293401,10,162,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
