clip_id,source_id,session_id,file_path,file_name,file_size_mb,sha256,source_start_sec,source_end_sec,duration_sec,fps,frame_count,width,height,codec,metadata_source,decode_ok,decode_error_count,first_frame_ok,middle_frame_ok,last_frame_ok,full_decode_ok,duplicate_group,overlap_group,overlap_status,overlap_max_sec,overlap_max_ratio,qc_status,qc_notes
LF_ZmCAo38w_C036,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C036.mp4,LF_ZmCAo38w_C036.mp4,135.236,3e38daad91e88d50378ec538c2bff09f8789c68afe166f422d8ed616342225fc,3850.0,3970.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C037,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C037.mp4,LF_ZmCAo38w_C037.mp4,121.496,faad487bf337118d0cea1af77f874468b05b7c97f58962e7fb20cc440ce79fbc,3960.0,4080.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C038,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C038.mp4,LF_ZmCAo38w_C038.mp4,98.63,cc218447d02455734c10345087c796a4b19caf45c6581cd600f3e7dfc5888047,4070.0,4190.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C039,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C039.mp4,LF_ZmCAo38w_C039.mp4,96.528,c839804c68535dbd314dc861be58e886787eb0b6bb7406828fb51d6cc0a6851d,4180.0,4300.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C040,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C040.mp4,LF_ZmCAo38w_C040.mp4,102.946,06103371d50af4f257d7a9d2e39d23b5eb5e2f5c35feff5adcea8f6bd0a0b197,4290.0,4410.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C041,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C041.mp4,LF_ZmCAo38w_C041.mp4,103.683,1b5982fe69d9664d1ca0428cfb300bbf6bae963beecf6335ca25f045e39678d8,4400.0,4520.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C042,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C042.mp4,LF_ZmCAo38w_C042.mp4,101.021,4571c1fabc04ad412058c85309fce8aa5219f2acd3180a0f9e92adae804a6daf,4510.0,4630.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C043,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C043.mp4,LF_ZmCAo38w_C043.mp4,104.817,0e926bad96b69bb679488fe6475aeb829cdd1c5e2154c0589563ecac600d0f00,4620.0,4740.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C044,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C044.mp4,LF_ZmCAo38w_C044.mp4,112.091,6df5ff337ff377e72cf8d26bfd31807a4b7c6c12fc139995979b0233936e0ed4,4730.0,4850.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C045,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C045.mp4,LF_ZmCAo38w_C045.mp4,114.815,84bbafbbc146021da31731a9983ba00a82800deccfa88b53f3624afef04beeda,4840.0,4960.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C046,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C046.mp4,LF_ZmCAo38w_C046.mp4,107.632,4ff8e10fa073036b6f067a47dcdf1d3ae1dfec67143fca92f5500a8a68b4858b,4950.0,5070.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C047,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C047.mp4,LF_ZmCAo38w_C047.mp4,109.127,8828103a2759487418c528a2b49d84a6f98d7b73cf72eccff639d93d3a631266,5060.0,5180.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C048,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C048.mp4,LF_ZmCAo38w_C048.mp4,108.574,1b57cd574eecea832fd5d3b5c66074241eb2fa7323c067b455014ca5e922144e,5170.0,5290.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C049,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C049.mp4,LF_ZmCAo38w_C049.mp4,107.108,596dfbcd396f8c90462edca2e93d9677ca95bb4a68852a6450f035f128485ead,5280.0,5400.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C050,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C050.mp4,LF_ZmCAo38w_C050.mp4,85.31,061b831dc82573f44fc76ac3449f9f15ab682039ada610f3537ffeb7b2b244f9,5390.0,5510.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C051,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C051.mp4,LF_ZmCAo38w_C051.mp4,112.46,7142dedcd955ddff41c700cf7b1cbf3d435125027ea7672f643678f99182b843,5500.0,5620.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C052,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C052.mp4,LF_ZmCAo38w_C052.mp4,121.915,728b1f6bc7dfd732ccfbe7e8653ecc46bfb00d6ac5860f9249196883a82dd4d5,5610.0,5730.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
